scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Carex echinata,Murray,Carex echinata,Carex,Cyperaceae,4.15,1.48,0.369,0.217
Carex elongata,L.,Carex elongata,Carex,Cyperaceae,3.34,1.2,0.27,0.09
Carex ericetorum,Pollich,Carex ericetorum,Carex,Cyperaceae,2.33,1.19,0.297,0.119
Carex extensa,Gooden.,Carex extensa,Carex,Cyperaceae,3.362,1.598,0.198,0.087
Carex ferruginea,Scop.,Carex ferruginea,Carex,Cyperaceae,3.972,1.282,0.225,0.049
Carex flacca,Schreb.,Carex flacca,Carex,Cyperaceae,3.05,1.6,0.221,0.255
Carex flava,L.,Carex flava,Carex,Cyperaceae,4.8,1.84,0.272,0.175
Carex frigida,All.,Carex frigida,Carex,Cyperaceae,4.708,1.03,0.303,0.045
Carex fuliginosa,Schkuhr,Carex fuliginosa,Carex,Cyperaceae,4.054,1.64,0.176,0.158
Carex nigra,(L.) Reichard,Carex fusca,Carex,Cyperaceae,2.342,1.664,0.247,0.1
Carex halleriana,Asso,Carex halleriana,Carex,Cyperaceae,4.914,1.746,0.115,0.06
Carex hartmanii,Cajander,Carex hartmanii,Carex,Cyperaceae,2.7,1.4,0.106,0.094
Carex hordeistichos,Vill.,Carex hordeistichos,Carex,Cyperaceae,10.248,2.586,0.345,0.351
Carex hostiana,DC.,Carex hostiana,Carex,Cyperaceae,3.536,1.448,0.3,0.052
Carex lasiocarpa,Ehrh.,Carex lasiocarpa,Carex,Cyperaceae,3.89,1.62,0.336,0.115
Carex limosa,L.,Carex limosa,Carex,Cyperaceae,4.496,2.712,0.274,0.2
Carex montana,L.,Carex montana,Carex,Cyperaceae,3.32,1.43,0.325,0.144
Carex mucronata,All.,Carex mucronata,Carex,Cyperaceae,3.722,1.178,0.23,0.087
Carex muricata,L.,Carex muricata,Carex,Cyperaceae,5.456,1.882,0.175,0.157
Carex viridula,Michx.,Carex oederi subsp. pulchella,Carex,Cyperaceae,3.046,1.556,0.147,0.173
