scientificName,scientificNameAuthorship,spec.name.ORIG,genus,family,manual_length,manual_width,sd_manual_length,sd_manual_width
Muscari botryoides,(L.) Mill.,Muscari botryoides,Muscari,Asparagaceae,1.89,1.656,0.138,0.092
Muscari neglectum,Guss. ex Ten.,Muscari neglectum,Muscari,Asparagaceae,1.878,1.72,0.189,0.189
Myagrum perfoliatum,L.,Myagrum perfoliatum,Myagrum,Brassicaceae,10.082,4.35,0.4,0.219
Lactuca muralis,(L.) Gaertn.,Mycelis muralis,Lactuca,Asteraceae,3.234,0.748,0.268,0.146
Myosotis alpestris,F.W.Schmidt,Myosotis alpestris,Myosotis,Boraginaceae,1.726,1.18,0.094,0.045
Myosotis arvensis,(L.) Hill,Myosotis arvensis,Myosotis,Boraginaceae,1.534,0.97,0.094,0.045
Myosotis laxa,Lehm.,Myosotis laxa,Myosotis,Boraginaceae,1.37,0.95,0,0
Myosotis ramosissima,Rochel,Myosotis ramosissima,Myosotis,Boraginaceae,1.05,0.74,0,0
Myosotis rehsteineri,Wartm.,Myosotis rehsteineri,Myosotis,Boraginaceae,1.47,0.95,0,0
Myosotis scorpioides,L.,Myosotis scorpioides,Myosotis,Boraginaceae,1.516,1.03,0.094,0.045
Myosotis sylvatica,Hoffm.,Myosotis sylvatica,Myosotis,Boraginaceae,1.746,1.178,0.06,0.087
Stellaria aquatica,(L.) Scop.,Myosoton aquaticum,Stellaria,Caryophyllaceae,0.922,0.858,0.055,0.038
Myosurus minimus,L.,Myosurus minimus,Myosurus,Ranunculaceae,1.178,0.758,0.087,0.087
Myricaria germanica,(L.) Desv.,Myricaria germanica,Myricaria,Tamaricaceae,1.134,0.32,0.115,0
Narcissus pseudonarcissus,L.,Narcissus pseudonarcissus,Narcissus,Amaryllidaceae,3.256,2.206,0.15,0.28
Narcissus poeticus subsp. radiiflorus,(Salisb.) Baker,Narcissus radiiflorus,Narcissus,Amaryllidaceae,3.426,2.376,0.218,0.193
Narthecium ossifragum,(L.) Huds.,Narthecium ossifragum,Narthecium,Nartheciaceae,6.038,0.358,0.232,0.066
Nasturtium officinale,R.Br.,Nasturtium officinale,Nasturtium,Brassicaceae,1.032,0.822,0.087,0.087
Nepeta cataria,L.,Nepeta cataria,Nepeta,Lamiaceae,1.58,1.136,0,0.088
Neslia paniculata,(L.) Desv.,Neslia paniculata,Neslia,Brassicaceae,2.544,2.544,0.173,0.139
Nicandra physalodes,(L.) Gaertn.,Nicandra physalodes,Nicandra,Solanaceae,1.724,1.516,0.06,0.094
Nymphoides peltata,(S.G.Gmel.) Kuntze,Nymphoides peltata,Nymphoides,Menyanthaceae,4.82,4.31,0.249,0.241
Odontites litoralis,Fr.,Odontites litoralis,Odontites,Orobanchaceae,1.304,0.55,0.06,0.045
Odontites luteus,Steven,Odontites luteus,Odontites,Orobanchaceae,3.13,1.516,0.045,0.094
Odontites vulgaris,Moench,Odontites vulgaris,Odontites,Orobanchaceae,1.684,0.84,0.182,0
Oenanthe aquatica,(L.) Poir.,Oenanthe aquatica,Oenanthe,Apiaceae,4.98,1.58,0.261,0
Oenanthe fluviatilis,(Bab.) Coleman,Oenanthe conioides,Oenanthe,Apiaceae,4.624,1.622,0.444,0.23
Oenanthe fistulosa,L.,Oenanthe fistulosa,Oenanthe,Apiaceae,5.504,2.546,0.75,0.115
Oenothera glazioviana,Micheli,Oenothera glazioviana,Oenothera,Onagraceae,1.936,1.178,0.139,0.138
Onobrychis montana,DC.,Onobrychis montana,Onobrychis,Fabaceae,7.96,5.974,0.448,0.465
Onobrychis viciifolia,Scop.,Onobrychis viciifolia,Onobrychis,Fabaceae,4.01,3.11,0.34,0.3
Ononis spinosa subsp. hircina,(Jacq.) Gams,Ononis arvensis,Ononis,Fabaceae,2.542,2.44,0.049,0.045
Ononis spinosa subsp. procurrens,(Wallr.) Briq.,Ononis repens,Ononis,Fabaceae,2.684,2.03,0.082,0.252
Ononis spinosa,L.,Ononis spinosa,Ononis,Fabaceae,2.254,2.054,0.184,0.115
Onopordum acanthium,L.,Onopordum acanthium,Onopordum,Asteraceae,5.292,2.67,0.094,0.191
Origanum vulgare,L.,Origanum vulgare,Origanum,Lamiaceae,0.862,0.61,0.049,0.045
Orobanche hederae,Duby,Orobanche hederae,Orobanche,Orobanchaceae,0.37,0.274,0.047,0.013
Oxalis acetosella,L.,Oxalis acetosella,Oxalis,Oxalidaceae,2.48,1.44,0.14,0.132
Oxalis stricta,L.,Oxalis stricta,Oxalis,Oxalidaceae,1.348,0.928,0.049,0.049
Vaccinium macrocarpon,Aiton,Oxycoccos macrocarpos,Vaccinium,Ericaceae,2.122,1.094,0.19,0.06
Vaccinium oxycoccos,L.,Oxycoccos oxycoccos,Vaccinium,Ericaceae,1.516,0.822,0.094,0.087
Oxytropis campestris,(L.) DC.,Oxytropis campestris,Oxytropis,Fabaceae,1.976,1.726,0.088,0.094
Oxytropis jacquinii,Bunge,Oxytropis jacquinii,Oxytropis,Fabaceae,1.53,1.454,0.089,0.163
Oxytropis pilosa,(L.) DC.,Oxytropis pilosa,Oxytropis,Fabaceae,1.766,1.346,0.088,0.088
Papaver argemone,L.,Papaver argemone,Papaver,Papaveraceae,0.948,0.57,0.074,0.055
Papaver dubium,L.,Papaver dubium,Papaver,Papaveraceae,0.68,0.474,0.03,0.026
Papaver rhoeas,L.,Papaver rhoeas,Papaver,Papaveraceae,0.814,0.514,0.046,0.045
Paris quadrifolia,L.,Paris quadrifolia,Paris,Melanthiaceae,2.93,1.968,0.115,0.22
Parnassia palustris,L.,Parnassia palustris,Parnassia,Celastraceae,1.476,0.37,0.13,0.048
Parthenocissus inserta,(A.Kern.) Fritsch,Parthenocissus inserta,Parthenocissus,Vitaceae,4.308,3.908,0.074,0.087
Pastinaca sativa,L.,Pastinaca sativa,Pastinaca,Apiaceae,5.756,3.928,0.417,0.254
Paulownia tomentosa,Steud.,Paulownia tomentosa,Paulownia,Paulowniaceae,3.656,2.608,0.374,0.262
Pedicularis asplenifolia,Flörke ex Willd.,Pedicularis asplenifolia,Pedicularis,Orobanchaceae,2.186,0.904,0.201,0.094
Pedicularis foliosa,L.,Pedicularis foliosa,Pedicularis,Orobanchaceae,3.256,1.598,0.28,0.087
Pedicularis kerneri,Dalla Torre,Pedicularis kerneri,Pedicularis,Orobanchaceae,2.08,1.008,0.045,0.094
Pedicularis palustris,L.,Pedicularis palustris,Pedicularis,Orobanchaceae,2.376,1.282,0.16,0.114
Pedicularis recutita,L.,Pedicularis recutita,Pedicularis,Orobanchaceae,2.522,1.116,0.131,0.06
Pedicularis rostratocapitata,Crantz,Pedicularis rostratocapitata,Pedicularis,Orobanchaceae,2.436,1.158,0.115,0.074
Pedicularis sceptrum-carolinum,L.,Pedicularis sceptrum-carolinum,Pedicularis,Orobanchaceae,2.712,2.334,0.172,0.23
Pedicularis sylvatica,L.,Pedicularis sylvatica,Pedicularis,Orobanchaceae,1.976,1.05,0.17,0
Pedicularis tuberosa,L.,Pedicularis tuberosa,Pedicularis,Orobanchaceae,2.248,1.22,0.206,0.121
Pedicularis verticillata,L.,Pedicularis verticillata,Pedicularis,Orobanchaceae,2.032,0.906,0.063,0.06
Petasites albus,(L.) Gaertn.,Petasites albus,Petasites,Asteraceae,2.71,0.508,0.155,0.049
Petasites hybridus,"(L.) G.Gaertn., B.Mey. & Scherb.",Petasites hybridus,Petasites,Asteraceae,2.164,0.464,0.176,0.06
Petasites paradoxus,(Retz.) Baumg.,Petasites paradoxus,Petasites,Asteraceae,3.866,0.564,0.204,0.06
Petrocallis pyrenaica,(L.) R.Br.,Petrocallis pyrenaica,Petrocallis,Brassicaceae,1.996,1.242,0.209,0.138
Petrorhagia prolifera,(L.) P.W.Ball & Heywood,Petrorhagia prolifera,Petrorhagia,Caryophyllaceae,1.528,0.978,0.061,0.036
Petrorhagia saxifraga,(L.) Link,Petrorhagia saxifraga,Petrorhagia,Caryophyllaceae,1.108,0.678,0.054,0.04
Petroselinum crispum,(Mill.) Fuss,Petroselinum crispum,Petroselinum,Apiaceae,3.016,1.322,0.241,0.142
Peucedanum palustre,(L.) Moench,Peucedanum palustre,Peucedanum,Apiaceae,4.728,3.278,0.195,0.138
Phleum hirsutum,Honck.,Phleum hirsutum,Phleum,Poaceae,1.504,0.502,0.046,0.033
Phleum phleoides,(L.) H.Karst.,Phleum phleoides,Phleum,Poaceae,1.88,0.524,0.202,0.063
Phragmites australis,(Cav.) Trin. ex Steud.,Phragmites australis,Phragmites,Poaceae,1.108,0.678,0.054,0.04
Physocarpus opulifolius,(L.) Maxim.,Physocarpus opulifolius,Physocarpus,Rosaceae,1.996,1.262,0.105,0.074
Phyteuma hemisphaericum,L.,Phyteuma hemisphaericum,Phyteuma,Campanulaceae,1.01,0.42,0.055,0
Phyteuma orbiculare,L.,Phyteuma orbiculare,Phyteuma,Campanulaceae,1.116,0.654,0.06,0.088
Phyteuma ovatum,Honck.,Phyteuma ovatum,Phyteuma,Campanulaceae,1.2,0.674,0.121,0.06
Phyteuma spicatum,L.,Phyteuma spicatum,Phyteuma,Campanulaceae,1.156,0.674,0.105,0.06
Phytolacca esculenta,Van Houtte,Phytolacca esculenta,Phytolacca,Phytolaccaceae,2.386,2.036,0.179,0.118
Picea abies,(L.) H.Karst.,Picea abies,Picea,Pinaceae,4.182,2.376,0.343,0.193
Helminthotheca echioides,(L.) Holub,Picris echioides,Helminthotheca,Asteraceae,2.942,1.01,0.225,0.055
Picris hieracioides,Sibth. & Sm.,Picris hieracioides,Picris,Asteraceae,3.95,1.008,0.24,0.094
Pilosella leptophyton,(Nägeli & Peter) S.Bräut. & Greuter,Pilosella leptophyton,Pilosella,Asteraceae,1.87,0.51,0.31,0.05
Pimpinella major,(L.) Huds.,Pimpinella major,Pimpinella,Apiaceae,2.354,1.178,0.285,0.087
Pimpinella saxifraga,L.,Pimpinella saxifraga,Pimpinella,Apiaceae,1.726,0.926,0.176,0.088
Pinguicula leptoceras,Rchb.,Pinguicula leptoceras,Pinguicula,Lentibulariaceae,0.802,0.32,0.093,0
Pinguicula vulgaris,L.,Pinguicula vulgaris,Pinguicula,Lentibulariaceae,0.886,0.32,0.094,0
Pinus mugo,Turra,Pinus mugo,Pinus,Pinaceae,4.516,2.798,0.211,0.176
Pinus uncinata,Ramond ex DC.,Pinus rotundata,Pinus,Pinaceae,4.548,2.754,0.302,0.148
Pinus sylvestris,L.,Pinus sylvestris,Pinus,Pinaceae,3.918,2.192,0.276,0.275
Plantago alpina,L.,Plantago alpina,Plantago,Plantaginaceae,2.478,1.126,0.094,0.072
Plantago indica,L.,Plantago arenaria,Plantago,Plantaginaceae,1.008,0.542,0.111,0.071
Plantago atrata,Hoppe,Plantago atrata,Plantago,Plantaginaceae,2.69,1.24,0.121,0.045
Plantago coronopus,L.,Plantago coronopus,Plantago,Plantaginaceae,1.16,0.74,0,0
Plantago major subsp. intermedia,(Gilib.) Lange,Plantago intermedia,Plantago,Plantaginaceae,1.05,0.57,0,0.055
Plantago lanceolata,L.,Plantago lanceolata,Plantago,Plantaginaceae,2.942,1.304,0.166,0.06
Plantago major,L.,Plantago major,Plantago,Plantaginaceae,1.622,0.864,0.094,0.088
Plantago media,L.,Plantago media,Plantago,Plantaginaceae,1.976,1.094,0.139,0.119
Poa alpina,L.,Poa alpina,Poa,Poaceae,2.06,0.676,0.055,0.094
Poa annua,L.,Poa annua,Poa,Poaceae,2.2,0.69,0.226,0.065
Poa badensis,Haenke ex Willd.,Poa badensis,Poa,Poaceae,3.846,1.412,0.264,0.181
Poa bulbosa,L.,Poa bulbosa,Poa,Poaceae,11.026,2.158,3.33,0.455
Poa cenisia,All.,Poa cenisia,Poa,Poaceae,2.1,0.53,0,0
Poa chaixii,Vill.,Poa chaixii,Poa,Poaceae,1.846,0.746,0.228,0.043
Poa compressa,L.,Poa compressa,Poa,Poaceae,2.294,0.606,0.13,0.033
Festuca subverticillata,(Pers.) E.B.Alexeev,Poa laxa,Festuca,Poaceae,1.536,0.564,0.06,0.06
Poa nemoralis,L.,Poa nemoralis,Poa,Poaceae,1.494,0.43,0.013,0.035
Poa palustris,L.,Poa palustris,Poa,Poaceae,1.322,0.392,0.078,0.027
Poa angustifolia,L.,Poa pratensis subsp. angustifolia,Poa,Poaceae,3.112,0.68,0.125,0.093
Polemonium caeruleum,L.,Polemonium caeruleum,Polemonium,Polemoniaceae,2.668,1.01,0.274,0.055
Polygala amarella,Crantz,Polygala amarella,Polygala,Polygalaceae,2.166,1.284,0.06,0.088
Polygala comosa,Schkuhr,Polygala comosa,Polygala,Polygalaceae,2.714,1.558,0.115,0.049
Polygonatum multiflorum,(L.) All.,Polygonatum multiflorum,Polygonatum,Asparagaceae,3.17,2.89,0.115,0.124
Fallopia aubertii,(L.Henry) Holub,Polygonum aubertii,Fallopia,Polygonaceae,4.12,2.856,0.448,0.239
Persicaria bistorta,(L.) Samp.,Polygonum bistorta,Persicaria,Polygonaceae,4.496,2.63,0.204,0
Fallopia dumetorum,(L.) Holub,Polygonum dumetorum,Fallopia,Polygonaceae,3.55,2.31,0.155,0.148
Persicaria mitis,(Schrank) Holub,Polygonum mite,Persicaria,Polygonaceae,3.384,1.992,0.108,0.249
Reynoutria sachalinensis,(F.Schmidt) Nakai,Polygonum sachalinense,Reynoutria,Polygonaceae,3.34,1.306,0.116,0.094
Portulaca oleracea,L.,Portulaca oleracea subsp. sativa,Portulaca,Portulacaceae,1.206,1.074,0.069,0.063
Potamogeton alpinus,Balb.,Potamogeton alpinus,Potamogeton,Potamogetonaceae,3.56,2.176,0.247,0.173
Potamogeton berchtoldii,Fieber,Potamogeton berchtoldii,Potamogeton,Potamogetonaceae,2.238,1.478,0.094,0.095
Potamogeton coloratus,Hornem.,Potamogeton coloratus,Potamogeton,Potamogetonaceae,1.64,1.114,0.158,0.094
Groenlandia densa,(L.) Fourr.,Potamogeton densus,Groenlandia,Potamogetonaceae,2.648,1.976,0.429,0.135
Potamogeton lucens,L.,Potamogeton lucens,Potamogeton,Potamogetonaceae,3.368,2.496,0.087,0.092
Potamogeton perfoliatus,L.,Potamogeton perfoliatus,Potamogeton,Potamogetonaceae,2.958,2.146,0.089,0.181
Potamogeton polygonifolius,Pourr.,Potamogeton polygonifolius,Potamogeton,Potamogetonaceae,3.594,2.356,0.139,0.206
Potamogeton praelongus,Wulfen,Potamogeton praelongus,Potamogeton,Potamogetonaceae,4.728,3.446,0.371,0.33
Potentilla anserina,L.,Potentilla anserina,Potentilla,Rosaceae,2.08,1.452,0.045,0.087
Potentilla argentea,L.,Potentilla argentea,Potentilla,Rosaceae,0.868,0.548,0.054,0.105
Potentilla aurea,L.,Potentilla aurea,Potentilla,Rosaceae,1.136,0.906,0.088,0.06
Potentilla erecta,(L.) Raeusch.,Potentilla erecta,Potentilla,Rosaceae,1.606,1.064,0.059,0.096
Potentilla grandiflora,L.,Potentilla grandiflora,Potentilla,Rosaceae,1.494,1.092,0.088,0.094
Potentilla heptaphylla,L.,Potentilla heptaphylla,Potentilla,Rosaceae,1.2,0.738,0.121,0.166
Potentilla recta,L.,Potentilla recta,Potentilla,Rosaceae,1.432,1.01,0.093,0.055
Potentilla supina,L.,Potentilla supina,Potentilla,Rosaceae,0.82,0.74,0.045,0
Potentilla tabernaemontani,Asch.,Potentilla tabernaemontani,Potentilla,Rosaceae,1.808,1.286,0.087,0.115
Primula auricula,L.,Primula auricula,Primula,Primulaceae,1.2,0.696,0.121,0.351
Primula elatior,(L.) Hill,Primula elatior,Primula,Primulaceae,1.536,1.282,0.06,0.156
Primula farinosa,L.,Primula farinosa,Primula,Primulaceae,0.76,0.526,0.045,0.105
Primula glutinosa,Wulfen,Primula glutinosa,Primula,Primulaceae,1.368,0.906,0.127,0.06
Primula hirsuta,All.,Primula hirsuta,Primula,Primulaceae,1.2,0.758,0.055,0.087
Primula integrifolia,L.,Primula integrifolia,Primula,Primulaceae,1.122,0.696,0.228,0.06
Primula veris,L.,Primula veris,Primula,Primulaceae,1.87,1.198,0.155,0.093
Primula vulgaris,Huds.,Primula vulgaris,Primula,Primulaceae,1.892,1.116,0.22,0.06
Pritzelago alpina,(L.) Kuntze,Pritzelago alpina,Pritzelago,Brassicaceae,1.766,0.718,0.088,0.049
Hornungia alpina subsp. brevicaulis,(Spreng.) O.Appel,Pritzelago alpina subsp. brevicaulis,Hornungia,Brassicaceae,1.18,0.634,0.045,0.105
Prunella grandiflora,(L.) Scholler,Prunella grandiflora,Prunella,Lamiaceae,1.892,1.158,0.074,0.074
Prunella laciniata,(L.) L.,Prunella laciniata,Prunella,Lamiaceae,2.208,1.074,0.131,0.088
Prunella vulgaris,L.,Prunella vulgaris,Prunella,Lamiaceae,1.982,0.978,0.085,0.067
Puccinellia distans,(Jacq.) Parl.,Puccinellia distans,Puccinellia,Poaceae,1.88,0.71,0.104,0.042
Pulmonaria officinalis,L.,Pulmonaria officinalis,Pulmonaria,Boraginaceae,4.202,2.67,0.074,0.055
Anemone vernalis,L.,Pulsatilla vernalis,Anemone,Ranunculaceae,12.392,1.788,0.285,0.285
Pyrola minor,L.,Pyrola minor,Pyrola,Ericaceae,0.53,0.11,0,0
Pyrola rotundifolia,L.,Pyrola rotundifolia,Pyrola,Ericaceae,0.638,0.128,0.03,0.016
Moneses uniflora,A.Gray,Pyrola uniflora,Moneses,Ericaceae,0.624,0.1,0.035,0
Ranunculus aconitifolius,L.,Ranunculus aconitifolius,Ranunculus,Ranunculaceae,3.12,2.4,0.383,0.224
Ranunculus acris,L.,Ranunculus acris,Ranunculus,Ranunculaceae,3.508,2.376,0.361,0.16
Ranunculus alpestris,L.,Ranunculus alpestris,Ranunculus,Ranunculaceae,2.23,1.22,0.045,0.055
Ranunculus auricomus,L.,Ranunculus auricomus,Ranunculus,Ranunculaceae,3.55,2.49,0.294,0.315
Ranunculus bulbosus,L.,Ranunculus bulbosus,Ranunculus,Ranunculaceae,2.89,2.43,0.192,0.076
Ranunculus cassubicus,L.,Ranunculus cassubicus,Ranunculus,Ranunculaceae,3.446,2.27,0.33,0.191
Ranunculus flammula,L.,Ranunculus flammula,Ranunculus,Ranunculaceae,1.49,0.908,0.043,0.091
Ranunculus fluitans,Lam.,Ranunculus fluitans,Ranunculus,Ranunculaceae,1.62,1.006,0.083,0.08
Beckwithia glacialis,(L.) Á.Löve & D.Löve,Ranunculus glacialis,Beckwithia,Ranunculaceae,3.994,1.6,0.298,0.155
Ranunculus lanuginosus,L.,Ranunculus lanuginosus,Ranunculus,Ranunculaceae,4.078,2.418,0.506,0.131
Ranunculus lingua,L.,Ranunculus lingua,Ranunculus,Ranunculaceae,3.594,1.892,0.274,0.22
Ranunculus serpens subsp. nemorosus,(DC.) G.López,Ranunculus nemorosus,Ranunculus,Ranunculaceae,3.972,2.692,0.2,0.093
Ranunculus parnassifolius,L.,Ranunculus parnassifolius,Ranunculus,Ranunculaceae,3.594,1.892,0.201,0.245
Ranunculus platanifolius,L.,Ranunculus platanifolius,Ranunculus,Ranunculaceae,3.45,2.65,0.371,0.278
Ranunculus polyanthemos,L.,Ranunculus polyanthemos,Ranunculus,Ranunculaceae,3.298,2.252,0.313,0.176
Ranunculus repens,L.,Ranunculus repens,Ranunculus,Ranunculaceae,2.88,2.12,0.125,0.168
Ranunculus reptans,L.,Ranunculus reptans,Ranunculus,Ranunculaceae,1.524,1.016,0.15,0.079
Ranunculus sardous,Crantz,Ranunculus sardous,Ranunculus,Ranunculaceae,3.846,2.354,0.119,0.16
Ranunculus sceleratus,L.,Ranunculus sceleratus,Ranunculus,Ranunculaceae,0.84,0.662,0.042,0.043
Raphanus raphanistrum subsp. sativus,(L.) Domin,Raphanus sativus,Raphanus,Brassicaceae,4.118,3.382,0.249,0.241
Rapistrum rugosum,(L.) All.,Rapistrum rugosum,Rapistrum,Brassicaceae,5.462,4.876,0.598,0.228
Reseda lutea,L.,Reseda lutea,Reseda,Resedaceae,1.536,1.146,0.057,0.1
Rhinanthus alectorolophus,(Scop.) Pollich,Rhinanthus alectorolophus,Rhinanthus,Orobanchaceae,5.106,3.95,0.239,0.158
Rhinanthus riphaeus,Krock.,Rhinanthus alpinus,Rhinanthus,Orobanchaceae,4.812,3.51,0.252,0.337
Rhinanthus serotinus,(Schönh.) Oborny,Rhinanthus angustifolius,Rhinanthus,Orobanchaceae,4.412,3.49,0.131,0.215
Rhinanthus glacialis,Personnat,Rhinanthus glacialis,Rhinanthus,Orobanchaceae,4.076,3.214,0.344,0.094
Rhinanthus minor,L.,Rhinanthus minor,Rhinanthus,Orobanchaceae,4.284,3.32,0.188,0.158
Rhododendron ferrugineum,L.,Rhododendron ferrugineum,Rhododendron,Ericaceae,0.886,0.38,0.094,0.055
Rhododendron hirsutum,L.,Rhododendron hirsutum,Rhododendron,Ericaceae,0.968,0.32,0.087,0
Rhodothamnus chamaecistus,(L.) Rchb.,Rhodothamnus chamaecistus,Rhodothamnus,Ericaceae,0.63,0.42,0,0
Ribes alpinum,L.,Ribes alpinum,Ribes,Grossulariaceae,2.962,2.126,0.187,0.115
Ribes petraeum,Wulfen,Ribes petraeum,Ribes,Grossulariaceae,3.192,2.184,0.23,0.188
Ribes uva-crispa,L.,Ribes uva-crispa,Ribes,Grossulariaceae,3.174,1.998,0.139,0.195
Robinia pseudoacacia,L.,Robinia pseudoacacia,Robinia,Fabaceae,4.436,3.006,0.188,0.262
Rorippa amphibia,(L.) Besser,Rorippa amphibia,Rorippa,Brassicaceae,0.756,0.48,0.091,0
Rorippa austriaca,(Crantz) Spach,Rorippa austriaca,Rorippa,Brassicaceae,0.84,0.63,0,0
Rorippa palustris,(L.) Besser,Rorippa palustris,Rorippa,Brassicaceae,0.738,0.55,0.074,0.045
Rorippa sylvestris,(L.) Besser,Rorippa sylvestris,Rorippa,Brassicaceae,0.906,0.63,0.06,0
Rosa caesia,Sm.,Rosa caesia,Rosa,Rosaceae,4.518,3.342,0.29,0.172
Rosa canina,L.,Rosa canina,Rosa,Rosaceae,5.21,3.236,0.302,0.201
Rosa dumalis,Tratt. ex Link,Rosa dumalis,Rosa,Rosaceae,5.462,3.11,0.29,0.474
Rosa gallica,L.,Rosa gallica,Rosa,Rosaceae,4.748,2.67,0.531,0.338
Rosa marginata,Wallr.,Rosa jundzillii,Rosa,Rosaceae,5.062,2.734,0.485,0.276
Rosa micrantha,Borrer ex Sm.,Rosa micrantha,Rosa,Rosaceae,5,2.942,0.261,0.285
Rosa multiflora,Thunb.,Rosa multiflora,Rosa,Rosaceae,3.764,2.166,0.115,0.262
Rosa pendulina,L.,Rosa pendulina,Rosa,Rosaceae,5.106,3.616,0.157,0.094
Rosa rubiginosa,L.,Rosa rubiginosa,Rosa,Rosaceae,5.252,3.236,0.627,0.542
Rosa rugosa,Thunb.,Rosa rugosa,Rosa,Rosaceae,5.736,3.192,0.802,0.094
Rosa spinosissima,L.,Rosa spinosissima,Rosa,Rosaceae,5.714,3.384,0.218,0.23
Rubus chamaemorus,L.,Rubus chamaemorus,Rubus,Rosaceae,4.476,3.298,0.266,0.232
Rubus sect. Rubus,L.,Rubus fruticosus agg.,Rubus,Rosaceae,3.132,1.87,0.52,0.045
Rubus idaeus,L.,Rubus idaeus,Rubus,Rosaceae,3.234,2.018,0.239,0.203
Rudbeckia laciniata,L.,Rudbeckia laciniata,Rudbeckia,Asteraceae,4.834,1.43,0.105,0.121
Rumex acetosa,L.,Rumex acetosa,Rumex,Polygonaceae,2.038,1.284,0.093,0.088
Rumex acetosella,L.,Rumex acetosella,Rumex,Polygonaceae,1.436,1.084,0.156,0.237
Rumex aquaticus,L.,Rumex aquaticus,Rumex,Polygonaceae,2.694,1.468,0.21,0.082
Rumex alpestris,Jacq.,Rumex arifolius,Rumex,Polygonaceae,2.228,1.39,0.138,0.045
Rumex conglomeratus,Murray,Rumex conglomeratus,Rumex,Polygonaceae,1.62,1.136,0.121,0.088
Rumex crispus,L.,Rumex crispus,Rumex,Polygonaceae,2.088,1.444,0.236,0.138
Rumex maritimus,L.,Rumex maritimus,Rumex,Polygonaceae,1.144,0.666,0.179,0.117
Rumex obtusifolius,L.,Rumex obtusifolius subsp. obtusifolius,Rumex,Polygonaceae,4.708,2.692,0.049,0.139
Rumex palustris,Sm.,Rumex palustris,Rumex,Polygonaceae,1.766,1.116,0.173,0.06
Rumex patientia,L.,Rumex patientia,Rumex,Polygonaceae,2.104,1.43,0.105,0.322
Rumex pulcher,L.,Rumex pulcher,Rumex,Polygonaceae,2.102,1.368,0.131,0.166
Rumex salicifolius,Weinm.,Rumex salicifolius var. triangulivalvis,Rumex,Polygonaceae,3.15,1.83,0.148,0.158
Rumex sanguineus,L.,Rumex sanguineus,Rumex,Polygonaceae,3.634,2.586,0.345,0.119
Rumex stenophyllus,Ledeb.,Rumex stenophyllus,Rumex,Polygonaceae,2.374,1.286,0.213,0.084
Rumex thyrsiflorus,Fingerh.,Rumex thyrsiflorus,Rumex,Polygonaceae,1.938,1.136,0.056,0.16
Ruta graveolens,L.,Ruta graveolens,Ruta,Rutaceae,2.418,1.452,0.074,0.135
Sagina apetala,Ard.,Sagina apetala,Sagina,Caryophyllaceae,0.32,0.21,0,0
Sagina nodosa,(L.) Fenzl,Sagina nodosa,Sagina,Caryophyllaceae,0.42,0.32,0,0
Sagina procumbens,L.,Sagina procumbens,Sagina,Caryophyllaceae,0.42,0.32,0,0
Sagina saginoides,(L.) H.Karst.,Sagina saginoides,Sagina,Caryophyllaceae,1.114,0.946,0.094,0.105
Sagittaria sagittifolia,L.,Sagittaria sagittifolia,Sagittaria,Alismataceae,4.898,2.838,0.376,0.4
Salicornia europaea,L.,Salicornia europaea,Salicornia,Amaranthaceae,1.198,0.82,0.062,0.095
Salix glabra,Scop.,Salix glabra,Salix,Salicaceae,1.58,0.4,0,0.045
Salix lapponum,L.,Salix lapponum,Salix,Salicaceae,1.746,0.57,0.216,0.055
Salix pentandra,L.,Salix pentandra,Salix,Salicaceae,1.686,0.318,0.133,0.041
Salix reticulata,L.,Salix reticulata,Salix,Salicaceae,1.05,0.42,0,0
Salix retusa,L.,Salix retusa,Salix,Salicaceae,1.556,0.528,0.204,0.074
Salix serpyllifolia,Scop.,Salix serpyllifolia,Salix,Salicaceae,1.578,0.59,0.131,0.055
Salix waldsteiniana,Willd.,Salix waldsteiniana,Salix,Salicaceae,1.2,0.4,0.055,0.045
Salsola kali,L.,Salsola kali,Salsola,Amaranthaceae,1.934,1.808,0.157,0.135
Salvia officinalis,L.,Salvia officinalis,Salvia,Lamiaceae,3.006,2.458,0.157,0.206
Salvia pratensis,L.,Salvia pratensis,Salvia,Lamiaceae,2.206,1.85,0.105,0.055
Salvia verticillata,L.,Salvia verticillata,Salvia,Lamiaceae,1.598,1.042,0.1,0.069
Sambucus ebulus,L.,Sambucus ebulus,Sambucus,Viburnaceae,3.13,1.996,0.116,0.147
Sambucus nigra,L.,Sambucus nigra,Sambucus,Viburnaceae,4.202,1.642,0.198,0.093
Sambucus racemosa,L.,Sambucus racemosa,Sambucus,Viburnaceae,3.318,1.516,0.23,0.143
Samolus valerandi,L.,Samolus valerandi,Samolus,Primulaceae,0.578,0.37,0.0342,0
Sanguisorba minor,Scop.,Sanguisorba minor,Sanguisorba,Rosaceae,3.466,1.976,0.211,0.17
Sanguisorba minor subsp. balearica,(Bourg. ex Nyman) Mu¤oz Garm. & C.Navarro,Sanguisorba muricata,Sanguisorba,Rosaceae,4.474,3.278,0.391,0.377
Sanguisorba officinalis,L.,Sanguisorba officinalis,Sanguisorba,Rosaceae,3.966,1.974,0.501,0.199
Sanicula europaea,L.,Sanicula europaea,Sanicula,Apiaceae,4.036,3.256,0.443,0.574
Saponaria ocymoides,L.,Saponaria ocymoides,Saponaria,Caryophyllaceae,1.85,1.702,0.055,0.049
